movie_id,actor_id,role
148,641,Tommy
148,640,Rocky
148,642,Kimberly
148,638,Aisha
148,639,Adam
149,643,Billy Hughes
149,644,Karen Hughes
149,645,Andy Clarke
149,646,Larsen
149,647,Arkadi
150,531,Nadja
150,648,Dracula
150,649,Bar Victim
150,650,Renfield
150,530,Jim
151,653,Mrs. Bennett
151,652,Dr. Alan Champion
151,654,Imposter
151,267,Angela Bennett
151,651,Jack Devlin
152,524,Samuel Faulkner
152,108,Rebecca Taylor
152,655,Marty Dwyer
152,656,Gail Dwyer
152,114,Sean Fletcher
153,657,Mary
153,658,Mustafa
153,659,The Lady Bunny
153,660,Policeman
153,661,Derrick
154,567,Lucifer
154,301,Simon
154,663,Katherine
154,334,Gabriel
154,662,Thomas Dagget
155,664,Rachel
155,665,Tom
155,666,Female Reporter Re: Fire
155,667,Fireman
155,668,Anchor Person Re: Jogger
156,108,Carol
156,669,Greg
156,670,Mover
156,671,Aerobics Instructor
156,672,Barbara
157,676,Gov. John Bellingham
157,675,Mituba
157,673,Rev. Arthur Dimmesdale
157,121,Hester Prynne
157,674,Roger Chillingworth
158,677,Nomi Malone
158,678,Zack Carey
158,679,Cristal Connors
158,680,James Smith
158,681,Al Torres
159,290,Auggie Wren
159,682,Paul Benjamin
159,683,1st OTB Man
159,684,2nd OTB Man
160,687,Emma Rae King
160,686,Georgia King
160,375,Grace King Bichon
160,685,Eddie Bichon
160,674,Wyly King
161,688,Sil
161,587,Preston Lennox
161,689,Xavier Fitch
161,441,Dr. Stephen Arden
161,690,Dan Smithson
162,30,Max Peltier
162,292,Faith Justin
162,692,Philo Gant
162,691,Lenny Nero
162,17,Lornette Mace Mason
163,542,Geneviève Emery
163,693,Guy Foucher
163,694,Madame Emery
163,695,Roland Cassard
163,696,Madeleine
164,697,Leann Netherwood
164,698,John Netherwood
164,699,Dana Clifton
164,700,Russell Clifton
164,701,Janie
165,706,Phil
165,705,Gunny
165,703,Jeanne
165,702,Jack
165,704,Tom
166,519,Arthur Rimbaud
166,186,Paul Verlaine
166,707,Mathilde Maute
166,708,Isabelle Rimbaud
