,movie_id,language_id
3274,2138,82
3275,2139,34
3276,2139,30
3277,2140,30
3278,2141,91
3279,2141,49
3280,2142,30
3281,2143,91
3282,2143,34
3283,2143,30
3284,2144,30
3285,2145,30
3286,2146,49
3287,2146,30
3288,2147,30
3289,2148,30
3290,2149,30
3291,2150,30
3292,2151,30
3293,2152,34
3294,2152,30
3295,2152,91
3296,2153,49
3297,2153,80
3298,2153,91
3299,2153,30
3300,2153,38
3301,2154,30
3302,2154,91
3303,2155,50
3304,2155,61
3305,2156,30
3306,2156,42
3307,2157,30
3308,2158,30
3309,2159,30
3310,2160,30
3311,2161,30
3312,2162,30
3313,2163,3
3314,2163,30
3315,2164,30
3316,2165,30
3317,2166,30
3318,2167,30
3319,2168,39
3320,2168,91
3321,2168,49
3322,2168,30
3323,2169,91
3324,2169,30
3325,2170,44
3326,2170,30
3327,2171,30
3328,2172,30
3329,2172,34
3330,2173,30
3331,2174,30
3332,2174,91
3333,2175,30
3334,2176,50
3335,2177,30
3336,2178,38
3337,2178,34
3338,2179,30
3339,2180,50
3340,2180,75
3341,2180,8
3342,2180,30
3343,2181,30
3344,2181,34
3345,2182,34
3346,2183,30
3347,2184,30
3348,2185,30
3349,2186,30
3350,2187,30
3351,2188,30
3352,2188,38
3353,2189,30
3354,2190,52
3355,2190,91
3356,2190,30
3357,2191,30
3358,2192,30
3359,2193,30
3360,2194,30
3361,2195,30
3362,2196,38
3363,2196,30
3364,2196,34
3365,2196,93
3366,2197,50
3367,2198,30
3368,2199,30
3369,2200,38
3370,2200,30
3371,2201,78
3372,2201,30
3373,2202,30
3374,2203,34
3375,2203,68
3376,2204,30
3377,2205,30
3378,2206,30
3379,2207,30
3380,2208,30
3381,2209,30
3382,2210,30
3383,2211,30
3384,2211,49
3385,2212,30
3386,2213,30
3387,2214,30
3388,2215,55
3389,2215,30
3390,2216,50
3391,2217,34
3392,2217,48
3393,2217,30
3394,2218,30
3395,2219,48
3396,2219,30
3397,2220,30
3398,2221,30
3399,2221,34
3400,2221,38
3401,2222,30
3402,2223,30
3403,2224,30
3404,2224,50
3405,2225,91
3406,2226,30
3407,2227,30
3408,2228,91
3409,2228,30
3410,2229,30
3411,2229,55
3412,2229,49
3413,2230,34
3414,2230,25
3415,2230,30
3416,2231,30
3417,2232,30
3418,2233,38
3419,2233,30
3420,2233,108
3421,2234,30
3422,2235,30
3423,2235,55
3424,2236,83
3425,2236,30
3426,2236,91
3427,2237,91
3428,2237,19
3429,2238,30
3430,2239,30
3431,2240,55
3432,2240,91
3433,2240,30
3434,2241,49
3435,2241,30
3436,2241,38
3437,2242,49
3438,2242,30
3439,2243,50
3440,2244,18
3441,2244,30
3442,2245,30
3443,2246,30
3444,2247,30
3445,2248,30
3446,2249,30
3447,2250,30
3448,2251,30
3449,2252,30
3450,2253,30
3451,2254,30
3452,2255,30
3453,2256,30
3454,2256,50
3455,2257,30
3456,2258,30
3457,2259,30
3458,2260,30
3459,2261,30
3460,2262,30
3461,2263,55
3462,2263,30
3463,2264,91
3464,2264,8
3465,2264,30
3466,2265,30
3467,2266,30
3468,2267,38
3469,2267,30
3470,2268,30
3471,2269,30
3472,2269,91
3473,2270,30
3474,2271,30
3475,2272,30
3476,2272,43
3477,2273,30
3478,2274,30
3479,2275,30
3480,2276,30
3481,2276,68
3482,2277,83
3483,2277,30
3484,2277,38
3485,2277,34
3486,2278,30
3487,2279,30
3488,2280,30
3489,2281,30
3490,2281,49
3491,2282,30
3492,2283,30
3493,2283,34
3494,2284,30
3495,2285,30
3496,2286,30
3497,2287,30
3498,2288,97
3499,2288,30
3500,2288,34
3501,2289,30
3502,2290,30
3503,2290,28
3504,2291,30
3505,2292,38
3506,2292,34
3507,2292,30
3508,2293,49
3509,2293,34
3510,2293,38
3511,2293,50
3512,2293,30
3513,2294,30
3514,2295,30
3515,2296,30
3516,2297,30
3517,2297,91
